source_id,path,source_class,sha256,locators,use
S01,CLAUDE.md,internal_governance,972801f84080ad8cad5c4f86400bc35ee8858dee4795841ee62306204ad68648,"sections Estado atual; Workflow obrigatorio","scope and execution boundaries only"
S02,quality_reports/plans/2026-09-15_refine_contribution/plan.md,internal_governance,d2d2ea2e39102ab4193ee2f82b12b0823143867a23750c38d626aa4797eb7f5d,"lines 115-130; 187-202","Gate 1 criteria and provisional-selection rule"
S03,quality_reports/execution/2026-09-15_refine_contribution/gate_00/decision.md,internal_governance,1248dd50b6e0d960e90a145aca8e192dadc0b738d13be6272abc7a79a3b605a9,"entire file","authorization to start Gate 1"
S04,quality_reports/execution/2026-09-15_refine_contribution/gate_00/inventory/application_candidates.csv,internal_roster,c4468cbc7670f3f39cb28fabe583df6d80e552cafa06f99226ce53b44a6e17e9,"study_group and candidate identifiers only","identify archive universe; numeric columns not used"
S10,replication/candidate_papers/un-peacekeeping-and-democratization-in-conflict-affected-countries.pdf,primary_paper,88c97e193a93617548971182e373879c7f1d110869d9f721d61f5bedc07d3b5c,"article pp. 1314-1318 and 1323","Blair design timing variables controls identification and limitations"
S11,replication/candidate_papers/peacekeeping/replication.do,primary_replication_code,e50f8ddce654872bc7d7ba0f024dab0ffd451174e9a172edb5875f404838078f,"lines 35-130; 355-387; 444-462","Blair unit lags preprocessing and specifications"
S12,replication/candidate_papers/peacekeeping/indvar_separate_ctrls.ado,primary_replication_code,587e53faa17b6d8168cab8f1303a2562f6fa15ab1e85ae0270aed7dbd3cf7b7d,"lines 1-40","Blair fixed-effects implementation and covariance default"
S13,replication/candidate_papers/peacekeeping/data_replication.dta,primary_replication_data,0a1ea0ace2f379acee18ba34d6a617f15a3d46e8912a19c43e521e0bcc5a727b,"metadata only","schema labels for country year democracy mandate foreign aid GDP and refugees"
S14,replication/candidate_papers/peacekeeping/metadata.json,primary_replication_metadata,58950ad49400846ccf01c55a62780e2e1572df20f7e666129431d7bdae2c6ae9,"entire file","archive metadata"
S20,replication/candidate_papers/BallardRosa-ComingTerms-2022.pdf,primary_paper,9fb287fe70d3c6217ba9fcd08604e18b889d2151ab2072112c28413a2e6f8d52,"article pp. 47-50; 55; 57-59","Ballard-Rosa unit timing variables selection and cluster"
S21,replication/candidate_papers/ballard_rosa_2022/IO replication.do,primary_replication_code,5092de0e836cc6ddb14d7d0fe20b7437af9b2cd04549256f55ab65effddb536a,"lines 9-10; 20-39; 45-79; 111-139","Ballard-Rosa time index outcome exposure controls FE and cluster"
S22,replication/candidate_papers/ballard_rosa_2022/Coming_to_Terms_data.dta,primary_replication_data,6bf20b9427edc2b21b33f97378d55ed0aa5ea84900edffc337b0c103d86393a2,"metadata only","schema labels for country time outcome partisanship and crises"
S23,replication/candidate_papers/ballard_rosa_2022/Coming_to_Terms_data.tab,primary_replication_data,9871f8e5bb89cd0cbaabb63608f183469f7e55a2324af4e55504041fe8a28f16,"header only","plain-text schema confirmation"
S30,replication/candidate_papers/Claassen_2020_AJPS_democracy_support.pdf,primary_paper,962fae3bcddb1ea4f04aa1f70490f502f40ec950602c7aece67e7242bb169023,"article pp. 13; 15-19","Claassen panel DAG timing and assumptions"
S31,replication/candidate_papers/claassen_2020/readme.txt,primary_replication_readme,4acb434215207e07051f6aeb040cd2f1752d3d44413eb7a92840a0de7669bc0c,"lines 10-43","corrected data codebook and code availability"
S32,replication/candidate_papers/claassen_2020/codebook_support_democracy_ajps_correct.pdf,primary_codebook,b51856294a83a5304569a03c56c91a3057011d8bba17bdd8051e23a28ae2dfde,"variables Country Year Libdem_VD Libdem_m1 Libdem_m2 SupDem_trim lnGDP_imp lnGDP_imp_m1","Claassen variable definitions and temporal availability"
