claim_id,prior_claim_or_capacity,fulltext_evidence,printed_page_localizers,assessment_after_full_read,consequence_for_Cplus,change_or_limit
L01,"Exact scalar shift between nested linear specifications","Gelbach defines delta_hat=beta1_base_hat-beta1_full_hat and proves the exact sample OLS identity delta_hat=(X1'X1)^-1 X1'X2 beta2_hat=Gamma_hat beta2_hat; he also defines the population projection target delta=Gamma beta2.","518-522; eqs. 1-4 and 11","confirmed_and_strengthened","C+ must reproduce the finite identity and name the population projection target separately; the IVB-paper sign is reversed by convention.","Prior algebraic equivalence remains; full text adds direct published evidence and a population target."
L02,"Joint decomposition for several possibly correlated controls","Equation 12 decomposes the endpoint into covariate components based on coefficients from the joint full model; mutually exclusive groups sum exactly to the total, and the heterogeneity construction permits many correlated covariates.","522-524; eq. 12","confirmed_and_strengthened","C+ includes joint-model coefficients and prespecified groups; correlation among controls is not a distinguishing capacity.","Full text confirms allocation and gives the group-level auxiliary implementation."
L03,"Order dependence, leave-one-out and Shapley summaries","The paper demonstrates severe sequence dependence for education and AFQT and replaces sequential increments with conditional full-model components; Appendix D explains the sequence bias. It does not enunciate results about leave-one-out or Shapley in this article.","510-511; 516-517; 538-540; eqs. D1-D3","known_conditional_allocation_confirmed","C+ uses Gelbach's single-base conditional allocation for each nested comparison; other allocations require their own decision target.","Do not attribute the prior LOO/Shapley comparison to Gelbach; it remains the team's synthesis."
L04,"Common observations across specifications","The exact matrix identity uses one common Y,X1,X2 system; all NLSY comparisons explicitly use the same 1749 observations. The article does not add a row-hash or audit mechanism.","515 table 3 note; 521 table 5 note; 525 table 6 note","known_requirement_confirmed","C+ must enforce common rows, transformations and weights for each identity application.","The software help remains the clearest implementation requirement; full text supplies algebraic and empirical confirmation, not a new audit invariant."
L05,"Uncertainty for the paired specification shift","Section IV invokes joint delta-method asymptotics; Appendix B derives four covariance terms for beta2 and Gamma, including cross terms, and permits robust or group-cluster covariance estimators. Note 14 identifies a degenerate zero-variance regime.","524 and note 14; 531-535; eqs. B1-B6","largely_equivalent_and_stronger_than_prior_summary","C+ must use the full joint covariance and distinguish regular, origin-degenerate and cancellation cases. For the B/U and C/U substitution contrasts, their cross-covariance is a deduction from a common stacked system or paired resampling, not a literal Gelbach formula for the trade.","The paper does not establish block-bootstrap coverage for TSCS, fixed-T validity or uniform inference near the origin."
L06,"Meaning of the b1x2 total-change warning","The article derives the mathematical covariance of components but does not discuss the later software display warning for the aggregate __TC row.","531-535","unchanged_software_specific","Keep the prior narrow characterization of the software warning; do not infer a mathematical omission from it.","No full-text basis to broaden or erase the localized code finding."
L07,"OLS, weights and endogenous regressors","The main derivation is OLS. With exact identification of beta1, Gelbach states finite-sample 2SLS equivalence; with overidentification, only asymptotic equivalence under valid instruments; the instrument set is fixed across specifications.","511 note 3; 526-527 and note 16; 530","confirmed_and_refined","If C+ is extended to IV, it must respect exact versus overidentification and fixed instruments. The existing software remains computationally broader on weights and IV.","Full text supplies theoretical IV scope; details are referred to Gelbach 2009 and were not rederived here."
L08,"Interpret a shift as confounding, overcontrol, collider bias or estimand change","Gelbach explicitly distinguishes a population linear projection, which needs no conditional-mean restriction for the algebra, from a causal partial-effect reading under a correctly specified full model. He assumes the full model is substantively appropriate for the decomposition exercise.","511 note 3; 516 note 8; 518","known_causal_logic_still_external_but_boundary_refined","C+ can attach the same DAG and estimand information as P, while keeping the Gelbach component descriptive when causal conditions fail.","The article does not provide a general DAG classifier; it also cannot be described as treating causal adequacy as irrelevant."
L09,"Use timing and pre-exposure history to classify panel controls","Gelbach notes that timing can sometimes imply a natural causal ordering and discusses AFQT as pre-labor-market while education may be endogenous. His primary domain is cases without a natural order, and he takes the chosen full model as given.","511 note 3; 514-516 and note 8","operational_candidate_narrowed","C+ receives the same timing/history inputs. A P advantage must be an explicit rule or guarantee for panel history, not awareness that timing matters.","Full text weakens any claim that Gelbach ignores temporal order, while leaving TSCS history selection undeveloped in this article."
L10,"ADL identifies a contemporaneous effect under selection on observables","The Gelbach article does not develop ADL, sequential ignorability or a contemporaneous-effect result in TSCS.","article-wide 509-543; bounded to this article","unchanged_external_baseline","C+ must continue to obtain this layer from Blackwell-Glynn and related panel literature.","No universal absence claim about Gelbach's other work is made."
L11,"Unit fixed effects with dynamic treatment and outcomes","The article's regression framework is generic OLS/IV and does not derive a unit-fixed-effects identification result with treatment-outcome feedback.","article-wide 509-543; bounded to this article","unchanged_assumptions_need_reconciliation","C+ and P both need an external identification derivation for dynamic FE.","The exact sample identity can survive a common transformation, but it does not determine the fixed-T probability limit."
L12,"Projection target, additivity and weights in two-way fixed effects","Gelbach's projection-versus-causal distinction reinforces that an exact coefficient decomposition can remain descriptive; the article does not analyze TWFE comparisons or weights.","518-519","known_limitation_refined","C+ names the projection target first and imports TWFE causal/weight conditions from Imai-Kim.","Full text strengthens the target distinction but does not settle the panel estimand."
L13,"Lagging a covariate as a response to endogeneity","Gelbach recognizes endogeneity and measurement problems as threats to meaningful decomposition and says valid IV may help if it solves the regression problem; he does not propose lagging as a general cure here.","511 note 3; 514-516","known_limitation_unchanged","C+ and P must keep persistent dynamics and lag admissibility in the external causal layer.","No claim is made that Gelbach proves the Bellemare lag result."
