year	iso	inflation_reinhard_rogoff	inflation_frankema_waijenburg
1890	"DZA"		
1891	"DZA"		
1892	"DZA"		
1893	"DZA"		
1894	"DZA"		
1895	"DZA"		
1896	"DZA"		
1897	"DZA"		
1898	"DZA"		
1899	"DZA"		
1900	"DZA"		
1901	"DZA"		
1902	"DZA"		
1903	"DZA"		
1904	"DZA"		
1905	"DZA"		
1906	"DZA"		
1907	"DZA"		
1908	"DZA"		
1909	"DZA"		
1910	"DZA"		
1911	"DZA"		
1912	"DZA"		
1913	"DZA"		
1914	"DZA"		
1915	"DZA"		
1916	"DZA"		
1917	"DZA"		
1918	"DZA"		
1919	"DZA"		
1920	"DZA"		
1921	"DZA"		
1922	"DZA"		
1923	"DZA"		
1924	"DZA"		
1925	"DZA"		
1926	"DZA"		
1927	"DZA"		
1928	"DZA"		
1929	"DZA"		
1930	"DZA"		
1931	"DZA"		
1932	"DZA"		
1933	"DZA"		
1934	"DZA"		
1935	"DZA"		
1936	"DZA"		
1937	"DZA"		
1938	"DZA"		
1939	"DZA"	9.76	
1940	"DZA"	22.22	
1941	"DZA"	16.36	
1942	"DZA"	28.13	
1943	"DZA"	46.34	
1944	"DZA"	41.67	
1945	"DZA"	29.41	
1946	"DZA"	18.18	
1947	"DZA"	69.23	
1948	"DZA"	63.64	
1949	"DZA"	23.61	
1950	"DZA"	0.0	
1951	"DZA"	6.74	
1952	"DZA"	6.32	
1953	"DZA"	-0.99	
1954	"DZA"	1.0	
1955	"DZA"	0.0	
1956	"DZA"	1.98	
1957	"DZA"	2.91	
1958	"DZA"	12.26	
1959	"DZA"	9.24	
1960	"DZA"	5.38	
1961	"DZA"	2.92	
1962	"DZA"	6.6	
1963	"DZA"	6.6	
1964	"DZA"	6.6	
1965	"DZA"	6.6	
1966	"DZA"	6.6	
1967	"DZA"	6.6	
1968	"DZA"	6.6	
1969	"DZA"	6.6	
1970	"DZA"	6.6	
1971	"DZA"	2.63	
1972	"DZA"	3.66	
1973	"DZA"	6.17	
1974	"DZA"	4.73	
1975	"DZA"	8.96	
1976	"DZA"	8.88	
1977	"DZA"	12.1	
1978	"DZA"	17.17	
1979	"DZA"	11.45	
1980	"DZA"	9.67	
1981	"DZA"	14.61	
1982	"DZA"	6.59	
1983	"DZA"	7.83	
1984	"DZA"	6.31	
1985	"DZA"	10.43	
1986	"DZA"	14.01	
1987	"DZA"	5.86	
1988	"DZA"	5.94	
1989	"DZA"	9.17	
1990	"DZA"	9.27	
1991	"DZA"	25.9	
1992	"DZA"	31.7	
1993	"DZA"	20.5	
1994	"DZA"	29.0	
1995	"DZA"	29.8	
1996	"DZA"	18.7	
1997	"DZA"	5.7	
1998	"DZA"	4.95	
1999	"DZA"	2.6	
2000	"DZA"	0.3	
2001	"DZA"	4.2	
2002	"DZA"	1.4	
2003	"DZA"	4.26	
2004	"DZA"	3.97	
2005	"DZA"	1.38	
2006	"DZA"	2.32	
2007	"DZA"	3.67	
2008	"DZA"	4.86	
2009	"DZA"	5.74	
2010	"DZA"	3.91	
2011	"DZA"	4.52	
2012	"DZA"	8.89	
2013	"DZA"	3.26	
2014	"DZA"	3.2	
2015	"DZA"		
1890	"AGO"		
1891	"AGO"		
1892	"AGO"		
1893	"AGO"		
1894	"AGO"		
1895	"AGO"		
1896	"AGO"		
1897	"AGO"		
1898	"AGO"		
1899	"AGO"		
1900	"AGO"		
1901	"AGO"		
1902	"AGO"		
1903	"AGO"		
1904	"AGO"		
1905	"AGO"		
1906	"AGO"		
1907	"AGO"		
1908	"AGO"		
1909	"AGO"		
1910	"AGO"		
1911	"AGO"		
1912	"AGO"		
1913	"AGO"		
1914	"AGO"		
1915	"AGO"	28.95	
1916	"AGO"	20.41	
1917	"AGO"	35.59	
1918	"AGO"	25.0	
1919	"AGO"	50.0	
1920	"AGO"	80.0	
1921	"AGO"	29.63	
1922	"AGO"	45.71	
1923	"AGO"	68.63	
1924	"AGO"	126.74	
1925	"AGO"	-27.18	
1926	"AGO"	-7.04	
1927	"AGO"	-17.42	
1928	"AGO"	-9.17	
1929	"AGO"	-5.05	
1930	"AGO"	-5.32	
1931	"AGO"	0.0	
1932	"AGO"	-2.25	
1933	"AGO"	2.3	
1934	"AGO"	3.37	
1935	"AGO"	5.43	
1936	"AGO"	-1.03	
1937	"AGO"	2.08	
1938	"AGO"	2.04	
1939	"AGO"	1.0	
1940	"AGO"	13.86	
1941	"AGO"	16.52	
1942	"AGO"	17.91	
1943	"AGO"	13.92	
1944	"AGO"	7.78	
1945	"AGO"	5.15	
1946	"AGO"	4.9	
1947	"AGO"	13.55	
1948	"AGO"	-16.87	
1949	"AGO"	-0.99	
1950	"AGO"	4.0	
1951	"AGO"	-7.69	
1952	"AGO"	3.13	
1953	"AGO"	0.0	
1954	"AGO"	-4.04	
1955	"AGO"	0.0	
1956	"AGO"	3.16	
1957	"AGO"	1.02	
1958	"AGO"	2.02	
1959	"AGO"	0.0	
1960	"AGO"	-0.99	
1961	"AGO"	2.0	
1962	"AGO"	5.88	
1963	"AGO"	6.0	
1964	"AGO"	35.22	
1965	"AGO"	-2.57	
1966	"AGO"	16.17	
1967	"AGO"	36.36	
1968	"AGO"	53.33	
1969	"AGO"	6.11	
1970	"AGO"	8.07	
1971	"AGO"	5.69	
1972	"AGO"	15.81	
1973	"AGO"	15.68	
1974	"AGO"	27.45	
1975	"AGO"	29.02	
1976	"AGO"	80.66	
1977	"AGO"	69.04	
1978	"AGO"	48.44	
1979	"AGO"	101.31	
1980	"AGO"	46.71	
1981	"AGO"	1.39	
1982	"AGO"	1.83	
1983	"AGO"	1.83	
1984	"AGO"	1.83	
1985	"AGO"	1.83	
1986	"AGO"	1.83	
