response_id,source_group,source_title,mapped_to,status,diagnosis,proposed_solution,fix_assessment,gate,dependencies,source_locators,closure_criterion
R1-G1,general,The analytic value of the specification-shift identity,,PARTIAL,"O manuscrito transforma a identidade FWL em um diagnóstico nomeado e restringe sua leitura causal; os bytes atuais ainda não demonstram uma decisão inferencial distinta em relação ao melhor comparador existente.","Comparar o procedimento com a decomposição existente que receba o mesmo DAG, timing, história e amostra; definir decisão, erro e evidência que distinguem ou igualam os procedimentos.",needs_design,"G1|G4|G5|G7","Leitura integral de Gelbach e comparadores; ficha congelada do teste de contribuição; procedimento e aplicação compatíveis","Rmd 184-192,389-444; feedback 12-16","Encerra quando um comparador forte e o procedimento são avaliados sob a mesma informação e há evidência pré-especificada de ganho delimitado ou registro explícito de equivalência/redução da contribuição."
R1-G2,general,Nested comparisons versus variable substitution,,CONFIRMED,"A Proposição 1 exige adição aninhada com regressoras comuns; a expressão 'moved' e o workflow permitem leitura de substituição de Z_(t-1) por Z_t sem decomposição correspondente.","Definir modelos por conjuntos de regressoras; preservar a história na comparação principal e, se a substituição for substantivamente necessária, decompor a troca por um modelo de união em passos aninhados.",needs_design,"G2|G4|G5","Definições estabilizadas de baseline, história e amostra comum; prova e teste dos passos","Rmd 408-420,446-451,629-637; feedback 19-23","Encerra quando toda comparação central especifica RHS, amostra e transformação, e cada diferença é coberta por identidade aninhada ou por decomposição formal da substituição."
R1-G3,general,Operationalizing the dynamic baseline,,PARTIAL,"O baseline é explicitamente condicional e a derivação enuncia história suficiente; o corpo não fornece uma regra executável para escolher história, lag e forma funcional nem torna ADL+FE uma implementação privilegiada fora das condições.","Definir classe de DAGs e dinâmica, separar lags causalmente obrigatórios de aproximação, fixar regra primária e permitir saída descritiva/inconclusiva.",needs_design,"G2|G3|G4","Relógio e estimando estabilizados; regra observável; calibração do procedimento completo","Rmd 457-501,629-637; derivation identification 30-99; feedback 26-30","Encerra quando terceiros aplicam a regra com informação observável, chegam à mesma história ou à saída inconclusiva e a região de validade foi avaliada."
R1-G4,general,Simulation structures and interval coverage,,PARTIAL,"O corpo não integra equações, grids, retenção e implementações completas e não diagnostica a cobertura mínima; existem pacotes de apoio, e 0,700 é cobertura do coeficiente long contra CET, não de Delta.","Publicar DGPs e proveniência científica, separar deslocamento populacional de viés dos estimadores e calibrar o intervalo do shift e o procedimento final.",needs_design,"G3|G4|G6","Objetos do G2; procedimento inferencial do G3; DGPs e precisão Monte Carlo pré-especificados","Rmd 559-589; feedback 33-37; metrics.R 54-89; simulation.R 70-111","Encerra quando cada número tem DGP, estimador e alvo identificados, a falha de cobertura é explicada, e a inferência do shift é calibrada na região de uso."
R1-G5,general,Alignment between applications and the core estimand,,PARTIAL,"As aplicações declaram ser diagnósticos descritivos de contrastes não contemporâneos; por isso não sustentam a promessa local de interação com o baseline CET nem executam a inferência pareada.","Selecionar antes dos shifts uma aplicação com CET, janelas defensáveis, especificações aninhadas, amostra comum e inferência compatível; manter os casos atuais como exemplos delimitados se úteis.",needs_design,"G1|G3|G5|G6","Contribuição viável; matriz de compatibilidade; procedimento validado","Rmd 194,646-650,732-736; feedback 40-44","Encerra quando uma aplicação elegível percorre o procedimento completo e sustenta conclusão compatível com o CET, ou quando a ausência de aplicação força decisão explícita sobre o escopo."
R1-D01,detailed,Simulation boundaries rely on undefined artifacts,,CONFIRMED,"Tabela 4 e o texto remetem a 'static audit' e 'Task 12' sem identificação científica, equações, grids, estabilidade ou retenção acessíveis no artigo.","Converter os artefatos em apêndices/relatórios científicos identificados, com equações, parâmetros, regras e localizadores reproduzíveis.",safe,"G4|G6","Inventário do G0; DGPs congelados e outputs validados","Rmd 559-585; feedback 52-62","Encerra quando cada família de DGP da Tabela 4 aponta para equações, grade, estabilidade, retenções, estimador, output e manifesto verificáveis."
R1-D02,detailed,Applications do not instantiate the CET baseline,,PARTIAL,"Nenhuma aplicação atual estima o baseline contemporâneo; o texto reconhece que são contrastes defasado e prospectivo, mas a roadmap promete interação com o baseline.","Corrigir a promessa local e desenvolver uma aplicação central CET compatível, sem rebatizar os casos atuais.",needs_design,"G1|G5|G6","Escolha documental da aplicação; estimando/timing; inferência validada","Rmd 194,650,736; feedback 66-74","Encerra quando a roadmap descreve fielmente os casos atuais e uma aplicação central executa o baseline CET ou o escopo é formalmente reduzido."
R1-D03,detailed,Section 6 omits most of the announced applications,,PARTIAL,"O texto declara 14 candidatos em seis estudos, detalha dois estudos e cinco linhas; três linhas de Rogowski são comparações extras. A amostra intencional é reconhecida, mas o universo e o denominador do superlativo não são verificáveis no artigo.","Enumerar estudos, 14 candidatos e comparações adicionais separadamente; definir o universo de cada síntese e superlativo.",safe,"G0|G5|G6","Inventário de outputs; IDs estáveis de estudo-controle; denominadores definidos","Rmd 141-174,646,777-799,822; feedback 78-88","Encerra quando tabela/inventário reconciliam todos os candidatos e extras e toda estatística ou superlativo nomeia seu denominador."
R1-D04,detailed,Unit resampling does not cover general TSCS dependence,,PARTIAL,"O bootstrap preserva dependência entre equações e dentro da unidade, mas o corpo não explicita a hipótese entre unidades; a nota técnica reconhece esse limite.","Levar a restrição ao corpo e escolher/validar inferência conforme clusters, dependência transversal e aplicação.",needs_design,"G3|G4|G5","Estrutura de amostragem da aplicação; número e natureza dos clusters; procedimento calibrado","Rmd 426-438; uncertainty derivation 83-100,159-178,260-264; feedback 92-106","Encerra quando a unidade de reamostragem corresponde ao desenho e cobertura/erros são avaliados sob a dependência anunciada, com restrições explícitas."
R1-D05,detailed,CET outcome timing conflicts with the collider clock,,PARTIAL,"O texto contém dois relógios, mas 'after any within-period responses' pode conflitar com o processo de Y anterior a Z exigido pelo collider; Y_t e Y_t+ não são formalmente relacionados.","Definir objetos distintos para processo anterior e outcome terminal, restringir 'any' e ligar cada DAG ao estimando correspondente.",needs_design,"G2|G6","Relógios causais e notação estabilizados; revisão das claims dependentes","Rmd 214-238; feedback 110-129","Encerra quando cada relógio tem variáveis e janelas inequívocas e não há ordenação incompatível entre definição do CET, DAG e texto explicativo."
