"example","cell","graph_set","procedure","descriptive_result","expected_descriptive_result","descriptive_numeric_value","expected_descriptive_numeric_value","causal_action","expected_causal_action","conditional_certificates","expected_conditional_certificates","descriptive_loss","causal_loss","descriptive_target_source","causal_target_source","causal_output_source","component_omission_status","information_gain_claim"
"E1","E1-central","classe_E1_fornecida","C0","campo_nao_reportado","compensacao",,,"modelos_CET_certificados=B","modelos_CET_certificados=B","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET",,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","nao_pontuado","nenhum_ganho_informacional_atribuido"
"E1","E1-central","classe_E1_fornecida","Cplus","compensacao","compensacao",,,"modelos_CET_certificados=B","modelos_CET_certificados=B","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","componentes_reportados","nenhum_ganho_informacional_atribuido"
"E1","E1-central","classe_E1_fornecida","P","compensacao","compensacao",,,"modelos_CET_certificados=B","modelos_CET_certificados=B","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","componentes_reportados","nenhum_ganho_informacional_atribuido"
"E1","E1-menos","classe_E1_fornecida","C0","campo_nao_reportado","compensacao",,,"modelos_CET_certificados=B","modelos_CET_certificados=B","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET",,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","nao_pontuado","nenhum_ganho_informacional_atribuido"
"E1","E1-menos","classe_E1_fornecida","Cplus","compensacao","compensacao",,,"modelos_CET_certificados=B","modelos_CET_certificados=B","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","componentes_reportados","nenhum_ganho_informacional_atribuido"
"E1","E1-menos","classe_E1_fornecida","P","compensacao","compensacao",,,"modelos_CET_certificados=B","modelos_CET_certificados=B","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","componentes_reportados","nenhum_ganho_informacional_atribuido"
"E1","E1-mais","classe_E1_fornecida","C0","campo_nao_reportado","compensacao",,,"modelos_CET_certificados=B","modelos_CET_certificados=B","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET",,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","nao_pontuado","nenhum_ganho_informacional_atribuido"
"E1","E1-mais","classe_E1_fornecida","Cplus","compensacao","compensacao",,,"modelos_CET_certificados=B","modelos_CET_certificados=B","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","componentes_reportados","nenhum_ganho_informacional_atribuido"
"E1","E1-mais","classe_E1_fornecida","P","compensacao","compensacao",,,"modelos_CET_certificados=B","modelos_CET_certificados=B","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET","classe_defendida:B=CET_total;U=efeito_direto;C=sem_certificado_CET",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","componentes_reportados","nenhum_ganho_informacional_atribuido"
"E1","E1-nulo","classe_E1_fornecida","C0","campo_nao_reportado","sem_compensacao_material",,,"modelos_CET_certificados=B|C|U","modelos_CET_certificados=B|C|U","subclasse_sem_L_para_Y_e_Z_para_Y:B|C|U=CET_total","subclasse_sem_L_para_Y_e_Z_para_Y:B|C|U=CET_total",,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","nao_pontuado","nenhum_ganho_informacional_atribuido"
"E1","E1-nulo","classe_E1_fornecida","Cplus","sem_compensacao_material","sem_compensacao_material",,,"modelos_CET_certificados=B|C|U","modelos_CET_certificados=B|C|U","subclasse_sem_L_para_Y_e_Z_para_Y:B|C|U=CET_total","subclasse_sem_L_para_Y_e_Z_para_Y:B|C|U=CET_total",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","componentes_reportados","nenhum_ganho_informacional_atribuido"
"E1","E1-nulo","classe_E1_fornecida","P","sem_compensacao_material","sem_compensacao_material",,,"modelos_CET_certificados=B|C|U","modelos_CET_certificados=B|C|U","subclasse_sem_L_para_Y_e_Z_para_Y:B|C|U=CET_total","subclasse_sem_L_para_Y_e_Z_para_Y:B|C|U=CET_total",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","componentes_reportados","nenhum_ganho_informacional_atribuido"
"E2","G_M","G_M|G_F","C0","shift_descritivo","shift_descritivo",-1,-1,"somente_descritivo","somente_descritivo","G_M:S=CET_total,T=efeito_direto;G_F:T=CET_total,S=confundido","G_M:S=CET_total,T=efeito_direto;G_F:T=CET_total,S=confundido",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","theta_e_pi_nao_reportados_sem_pontuacao","nenhum_ganho_informacional_atribuido"
"E2","G_M","G_M|G_F","Cplus","shift_descritivo","shift_descritivo",-1,-1,"somente_descritivo","somente_descritivo","G_M:S=CET_total,T=efeito_direto;G_F:T=CET_total,S=confundido","G_M:S=CET_total,T=efeito_direto;G_F:T=CET_total,S=confundido",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","componentes_reportados","nenhum_ganho_informacional_atribuido"
"E2","G_M","G_M|G_F","P","shift_descritivo","shift_descritivo",-1,-1,"somente_descritivo","somente_descritivo","G_M:S=CET_total,T=efeito_direto;G_F:T=CET_total,S=confundido","G_M:S=CET_total,T=efeito_direto;G_F:T=CET_total,S=confundido",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","componentes_reportados","nenhum_ganho_informacional_atribuido"
"E2","G_F","G_M|G_F","C0","shift_descritivo","shift_descritivo",-1,-1,"somente_descritivo","somente_descritivo","G_M:S=CET_total,T=efeito_direto;G_F:T=CET_total,S=confundido","G_M:S=CET_total,T=efeito_direto;G_F:T=CET_total,S=confundido",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","theta_e_pi_nao_reportados_sem_pontuacao","nenhum_ganho_informacional_atribuido"
"E2","G_F","G_M|G_F","Cplus","shift_descritivo","shift_descritivo",-1,-1,"somente_descritivo","somente_descritivo","G_M:S=CET_total,T=efeito_direto;G_F:T=CET_total,S=confundido","G_M:S=CET_total,T=efeito_direto;G_F:T=CET_total,S=confundido",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","componentes_reportados","nenhum_ganho_informacional_atribuido"
"E2","G_F","G_M|G_F","P","shift_descritivo","shift_descritivo",-1,-1,"somente_descritivo","somente_descritivo","G_M:S=CET_total,T=efeito_direto;G_F:T=CET_total,S=confundido","G_M:S=CET_total,T=efeito_direto;G_F:T=CET_total,S=confundido",0,0,"oraculo_declarativo_ficha_v2","oraculo_declarativo_ficha_v2","certificados_analiticos_fornecidos_e_conferidos","componentes_reportados","nenhum_ganho_informacional_atribuido"
