recommendation_id,feedback_section,recommendation,validity,existing_evidence,decision,action,responsible_file,status
S5.1,5.1,"Definir IVB inicialmente como deslocamento de especificação populacional e amostral e reservar bias para desvios de um CET sob DAG e hipóteses explícitas.",Aceita,"PA e PSRM reconhecem verbalmente que o DAG determina a interpretação; ambos ainda usam IVB como rótulo geral.",Implementar,"Separar Delta_Z, hat(Delta)_Z e Bias(hat(beta); beta_CET) e revisar a terminologia.","derivations/specification_shift_vs_ivb.Rmd; ivb_paper_pa.Rmd",planned_p0
S5.2,5.2,"Enunciar condições explícitas para a interpretação causal do coeficiente ADL+FE e enquadrá-lo como baseline sob identificação sequencial, não como estimador causal geral.",Aceita,"PA e PSRM já delimitam CET, confounding contemporâneo não observado e Nickell bias, mas não apresentam uma proposição unificada de identificação.",Implementar,"Derivar condições de identificação do CET e separar identificação populacional de viés de estimação finite-T.","derivations/adl_cet_identification_conditions.Rmd; ivb_paper_pa.Rmd",planned_p0
S5.3,5.3,"Adicionar simulações de viés dinâmico finite-T variando N, T, persistência do desfecho, persistência do tratamento e efeitos unitários e comparando estimadores dinâmicos.",Aceita,"PA e PSRM discutem Nickell bias no apêndice e usam sobretudo T=30; não há grid finite-T dedicado.",Aguardar autorização,"Executar somente a simulação pré-especificada da Task 13 após aprovação do autor; não executar nesta task.","simulations/finite_t_dynamic_bias/; quality_reports/",pending_author_approval
S5.4,5.4,"Definir uma sequência temporal substantiva dentro do período e explicar como observações agregadas mapeiam para esses momentos causais.",Aceita,"PA e PSRM discutem timing de Z_t e Z_t-1, mas a regra ainda depende em parte dos subscritos.",Implementar,"Definir o CET e produzir tabela/checklist de timestamps para aplicações.","ivb_paper_pa.Rmd; quality_reports/cet_timing_checklist.md",planned_p0
S5.5a,5.5,"Documentar completamente os DGPs e conectar cada desenho ao DAG, estimando, hipóteses, estimadores e fonte esperada de viés.",Aceita,"PA e PSRM têm descrição parcial no Appendix E; relatórios e scripts existentes contêm detalhes dispersos.",Implementar,"Criar inventário unificado e apêndice reproduzível com ponte entre números, scripts e resultados versionados.","quality_reports/simulation_design_inventory.csv; online_appendix/",planned_p0
S5.5b,5.5,"Variar independentemente a força das setas causais para revelar regiões de parâmetros em que o benchmark funciona ou falha.",Aceita com escopo,"Há grids de persistência e de alguns mecanismos, mas não um mapa geral pré-especificado de forças de todas as setas.",Aguardar autorização,"Incorporar apenas nos novos desenhos diretamente necessários (Tasks 13 e 15); não abrir bateria geral.","simulations/finite_t_dynamic_bias/; simulations/multiple_controls/",pending_author_approval
S5.6,5.6,"Substituir DAGs genéricos por três DAGs dinâmicos time-indexed e explicitar o caminho herdado bloqueado por Y_t-1 no caso dual-role.",Aceita,"PA e PSRM exibem DAGs elementares e descrevem o mecanismo firewall; falta a representação dinâmica exigida.",Implementar,"Produzir três figuras TikZ e notas de d-separation.","figures/dags/; derivations/dynamic_dags.md; ivb_paper_pa.Rmd",planned_p0
S5.7,5.7,"Adicionar decomposição vetorial, deslocamento conjunto, leave-one-out e discussão de dependência da ordem para controles correlacionados; considerar Shapley.",Aceita,"PA e PSRM anunciam compute_ivb_multi(), mas o texto principal permanece escalar e não oferece atribuição formal.",Implementar,"Derivar diagnóstico conjunto e condicional; manter Shapley no apêndice somente se acrescentar interpretação.","derivations/multivariate_specification_shift.Rmd; R/compute_ivb_multi.R",planned_p1
S5.8,5.8,"Substituir a dependência de |IVB/SE| por incerteza principiada para Delta_Z, incluindo covariância entre estimadores aninhados e intervalo apropriado ao painel.",Aceita,"PSRM contém Appendix G com delta method e recomendação de bootstrap; aplicações ainda privilegiam |IVB/SE| e não reportam CI(Delta).",Implementar,"Validar bootstrap por unidade, diferença direta e delta method antes de reportar Delta, CI(Delta) e razão relativa.","derivations/specification_shift_uncertainty.Rmd; R/specification_shift_uncertainty.R",planned_p1
S5.9,5.9,"Explicar seleção das seis aplicações, codificação causal, independência em relação às magnitudes, reprodução das amostras e destino de todos os 14 casos; enquadrar o resultado como screening e auditoria.",Aceita,"PSRM Appendix I lista classificações e o relatório Edmans registra o critério de dados públicos, mas falta protocolo ex ante, dupla codificação e log de exclusões.",Implementar,"Formalizar protocolo purposivo ou frame defensável, codebook, planilha de coding, adjudicação e auditoria de reprodução.","quality_reports/application_selection_protocol.md; replication/application_coding.csv",planned_p0
