inventory_id,simulation_family,source_script,source_script_md5,result_file_paths,result_file_md5,verification_basis,equations,causal_dag_description,estimand,parameter_values_or_grid,N,T,burn_in,repetitions,error_process,fixed_effects,estimated_models,metrics,coverage_tags,status,notes,quantitative_claim_provenance
callaway_controls,Callaway-style nonlinear control relationship and level-dependent trends,simulations/dynamics/sim_callaway_controls.R,a7a293cd5b6b893a3d59ae4108e4dd1f,simulations/dynamics/results/sim_callaway_controls_results.csv;simulations/dynamics/results/sim_callaway_controls_raw.csv;simulations/dynamics/results/sim_callaway_controls_timing.csv,77b7a7e7844bcfad687a098402cc745d;171209a0803c4207d0c8c2d97f3d43be;e56347b9d61b6578c0305b06d876b7b6,directly verified: static source inspection plus existing versioned result artifact,"A: Y includes gamma_nl g(Z_lag); B: Y includes lambda H_i(t/T), Z includes delta_H H_i; D/Z remain dynamic dual-role.",Functional-form or level-dependent-trend misspecification; collider on/off via delta_Y.,beta=1 under stated DGP; diagnostic of specification robustness.,"56 scenarios x 500 reps; NL types softpoly2,power1.5,quadratic; exact grid in timing CSV.",timing CSV,source,source,500,"iid Gaussian innovations; H_i~N(0,1).",unit/time FE (which do not absorb H_i x time).,shared TWFE/ADL model battery.,"bias, RMSE/MCSE, discarded draws, timing.",callaway_style_trends;nonlinearity;firewall,verified_existing_artifacts,Direct source comment distinguishes this from a collider mechanism.,simulations/dynamics/sim_callaway_controls.R + simulations/dynamics/results/sim_callaway_controls_results.csv;simulations/dynamics/results/sim_callaway_controls_raw.csv;simulations/dynamics/results/sim_callaway_controls_timing.csv
diag_heterogeneous,diagnostic: heterogeneous treatment effects,simulations/diagnostics/diag_heterogeneous.R,83829137cd6c8cd29f1af1ed4b9d7d64,simulations/diagnostics/results/diag_heterogeneous_results.csv,70c492338d919956484c40c3036ae4db,directly verified: static source inspection plus existing versioned result artifact,Dynamic dual-role base DGP with beta_i heterogeneity controlled by sigma_beta.,Dual-role dynamics with heterogeneous causal effect.,mean beta / estimator target under heterogeneity.,"reps=200; sigma_beta={0,.3,.5,1}; base/extended scenario.",source,source,source,200,iid Gaussian.,unit/time FE in FE models.,"FE-ADL, extended FE-ADL, TWFE.",bias summaries.,heterogeneity;dual_role,verified_existing_artifacts,"Diagnostic artifact, not a main planned DGP.",simulations/diagnostics/diag_heterogeneous.R + simulations/diagnostics/results/diag_heterogeneous_results.csv
diag_ivb_sign,diagnostic: IVB sign,simulations/diagnostics/diag_ivb_sign.R,a42ffa72509f0374df36af893779e481,simulations/diagnostics/results/diag_ivb_sign_results.csv,cdf4bb75758f15a663daf5c63fd290e3,directly verified: static source inspection plus existing versioned result artifact,Dynamic dual-role base DGP varying gamma_D and delta_Y.,Lagged confounding/current collider.,beta=1 and sign of specification shift.,"reps=200; gamma_D={0,.05,.15,.30}; other grid in source.",source,source,source,200,iid Gaussian.,unit/time FE.,TWFE/ADL short/long.,bias and sign tables.,dual_role,verified_existing_artifacts,Diagnostic artifact.,simulations/diagnostics/diag_ivb_sign.R + simulations/diagnostics/results/diag_ivb_sign_results.csv
diag_phi,diagnostic: feedback mechanism,simulations/diagnostics/diag_phi_bias_mechanism.R,140534e3f5beb7d4e681257d8777d367,simulations/diagnostics/results/diag_phi_bias_mechanism_results.csv,96e3b8a99f4f65d579aecf30f2ea7fba,directly verified: static source inspection plus existing versioned result artifact,Dynamic system varying D_t response phi Y_lag.,Lagged feedback in dual-role dynamics.,beta=1 conditional on history.,"reps=300; phi={0,.05,.10,.15}; rho_Y={0,.5}.",source,source,source,300,iid Gaussian.,unit/time FE for FE model.,"FE ADL, no-FE ADL, D~Y_lag auxiliary.",bias and R2 diagnostics.,feedback,verified_existing_artifacts,Diagnostic artifact.,simulations/diagnostics/diag_phi_bias_mechanism.R + simulations/diagnostics/results/diag_phi_bias_mechanism_results.csv
diag_sensitivity,diagnostic: parameter sensitivity,simulations/diagnostics/diag_sensitivity_params.R,a552ea84ad31f52bc955fae3485845c9,simulations/diagnostics/results/diag_sensitivity_params_results.csv,d71624f097a82e4e813c7ee894737037,directly verified: static source inspection plus existing versioned result artifact,"Dynamic dual-role DGP varying rho_Y,gamma_D,gamma_Y and stability.",Lagged confounding/current collider.,beta=1.,"reps=200; rho_Y={.3,.5,.7}; stable subset only.",source,source,source,200,iid Gaussian.,unit/time FE.,FE ADL variants.,bias and stability summaries.,dual_role;firewall,verified_existing_artifacts,Rows flagged unstable are excluded by source logic; see source/result.,simulations/diagnostics/diag_sensitivity_params.R + simulations/diagnostics/results/diag_sensitivity_params_results.csv
diag_shortT,diagnostic: short-T / Nickell,simulations/diagnostics/diag_short_T.R,a02f798283143aca48b0fb7acc0cbf8e,simulations/diagnostics/results/diag_short_T_results.csv,10832d9d32a0b1ea1a11c304891ac984,directly verified: static source inspection plus existing versioned result artifact,Dynamic dual-role DGP comparing T=10 and 30.,Lagged confounding/current collider.,beta=1; finite-T estimator behavior.,"reps=200; T={10,30}; scenarios in source.",source,10;30,source,200,iid Gaussian.,unit/time FE where specified.,TWFE long; FE ADL; no-FE ADL.,bias and Nickell-cost comparison.,dual_role;firewall,verified_existing_artifacts,Diagnostic artifact.,simulations/diagnostics/diag_short_T.R + simulations/diagnostics/results/diag_short_T_results.csv
diag_timeFE,diagnostic: time FE in DGP,simulations/diagnostics/diag_time_fe_in_dgp.R,20c35d22003dd717b10588499ce5f5a5,simulations/diagnostics/results/diag_time_fe_results.csv,6915dd27317ec946d5390958fbf66939,directly verified: static source inspection plus existing versioned result artifact,Dynamic dual-role DGP with time-shock variance sigma_delta.,Dual-role dynamics plus common time shocks.,beta=1.,"reps=200; sigma_delta={0,.3,.5,1}; scenarios in source.",source,source,source,200,iid Gaussian time shocks and innovations.,unit/time FE.,TWFE and FE-ADL variants.,bias summaries.,dual_role;time_effects,verified_existing_artifacts,Diagnostic artifact.,simulations/diagnostics/diag_time_fe_in_dgp.R + simulations/diagnostics/results/diag_time_fe_results.csv
direct_carryover,linear direct carryover,simulations/dynamics/sim_direct_carryover.R,cd65449832de06b312db77bee37ef770,simulations/dynamics/results/sim_direct_carryover_results.csv;simulations/dynamics/results/sim_direct_carryover_raw.csv;simulations/dynamics/results/sim_direct_carryover_timing.csv,d1fa5a41586d2f8e5b992e4da32dc996;91f7d48b203250b5bb484a807527b7f1;df540a4c75b083cf69a98ebf05f21760,directly verified: static source inspection plus existing versioned result artifact,Dynamic dual-role DGP with Y_t including beta D_t+beta2 D_lag plus lagged Y/Z.,Lagged Z confounder/current collider plus direct treatment carryover.,contemporaneous beta=1; models may target misspecified effects when omitting D_lag.,N_REPS=500; beta2 and rho_Z grid in timing CSV.,timing CSV,source,source,500,iid Gaussian.,unit/time FE.,8-model TWFE/ADL grid.,"bias, RMSE, MCSE, timing.",carryover;firewall,verified_existing_artifacts,Do not call every coefficient bias to beta when the omitted carryover changes the estimand.,simulations/dynamics/sim_direct_carryover.R + simulations/dynamics/results/sim_direct_carryover_results.csv;simulations/dynamics/results/sim_direct_carryover_raw.csv;simulations/dynamics/results/sim_direct_carryover_timing.csv
direct_feedback,lagged outcome-to-treatment feedback,simulations/dynamics/sim_direct_feedback.R,d6ce69e965802479b0f1f78911df5e56,simulations/dynamics/results/sim_direct_feedback_results.csv;simulations/dynamics/results/sim_direct_feedback_raw.csv;simulations/dynamics/results/sim_direct_feedback_timing.csv,1cd3033b6e35cf88c12d81a821e9ab85;d23a192cc9ed2634ca6a6ee4a25ec01f;e907fa69675c5033593e6b0a93b5726e,directly verified: static source inspection plus existing versioned result artifact,Dynamic dual-role DGP with D_t including phi Y_lag.,Y_{t-1}->D_t feedback; lagged Z confounding/current collider.,beta=1 under stated history adjustment.,N_REPS=500; phi and rho_Z grid in timing CSV.,timing CSV,source,source,500,iid Gaussian.,unit/time FE.,TWFE and ADL variants.,"bias, MCSE, timing.",feedback;firewall,verified_existing_artifacts,Lagged feedback is not contemporaneous feedback.,simulations/dynamics/sim_direct_feedback.R + simulations/dynamics/results/sim_direct_feedback_results.csv;simulations/dynamics/results/sim_direct_feedback_raw.csv;simulations/dynamics/results/sim_direct_feedback_timing.csv
dual_role_8models,dual-role Z full 2x2x2 estimator grid,simulations/dual_role_z/sim_dual_role_z_8models.R,b0844dadadc3522181a03d495746574a,simulations/dual_role_z/results/sim_dual_role_z_8models_results.csv;simulations/dual_role_z/results/sim_dual_role_z_8models_raw.csv,eb5ac53a9dd902b35764d40de1b28629;25cca514b6ec2c33b409f0c94b648742,directly verified: static source inspection plus existing versioned result artifact,D=alpha_D+gamma_D Z_lag+rho_D D_lag+u; Y=alpha_Y+beta D+gamma_Y Z_lag+rho_Y Y_lag+e; Z=alpha_Z+delta_D D+delta_Y Y+rho_Z Z_lag+nu.,"Z_lag confounder and Z_t collider; contrasts FE/no-FE, lag inclusion/exclusion.",beta=1.,"N=100,T=30,burn=100,reps=500; rho_Z={.1,.3,.5,.7,.85}; sigma_alphaZ={.5,2}.",100,30,100,500,iid Gaussian innovations/unit effects.,unit/time FE in FE estimators.,Pooled short/long; TWFE short/long; ADL short/long with and without FE.,"bias, SD, MCSE.",dual_role;firewall,verified_existing_artifacts,Equation and all stated values are source comments/parameters.,simulations/dual_role_z/sim_dual_role_z_8models.R + simulations/dual_role_z/results/sim_dual_role_z_8models_results.csv;simulations/dual_role_z/results/sim_dual_role_z_8models_raw.csv
