pdf_page,printed_page,section,content_and_localizers,read_text_layout,visual_math_check,coverage_note
1,509,"Title; abstract; Introduction","bibliographic metadata; abstract; sequential-addition problem; article roadmap",yes,no,"full page read including author note and publication metadata"
2,510,"Introduction","robustness/accounting objectives; sequence sensitivity; base-full identity in introductory notation",yes,yes,"introductory displayed identity checked visually"
3,511,"Introduction","order invariance; NLSY headline results; notes 2-3 on Oaxaca-Blinder, covariance, Hausman, full-model adequacy, IV and natural causal ordering",yes,no,"full notes read; note 3 central to causal and temporal limits"
4,512,"Section II: Examples from the Literature","Altonji-Blank wage-gap sequence; Levitt-Syverson housing example; notes 4",yes,no,"full page read"
5,513,"Section II","Tables 1-2; why correlated added covariates defeat sequential attribution",yes,no,"tables and notes read"
6,514,"Sections II-III","breadth of sequential practice; NLSY/Neal-Johnson setup; AFQT timing and schooling endogeneity debate; notes 5-6",yes,no,"full page read"
7,515,"Section III","Table 3; base, education-only and AFQT-only specifications; sample size 1749",yes,no,"table cells and notes read"
8,516,"Section III","full specification with education and AFQT; two addition sequences; notes 7-8 on substantive choice of full model",yes,no,"note 8 central to specification assumption"
9,517,"Section III","Table 4; reversal of black-education association conditional on AFQT; sequence sensitivity conclusion",yes,no,"full page and table note read"
10,518,"Section IV: Accounting for Coefficient Changes","eqs. 1-4; population linear projection; conditional-mean/causal statement; base and full targets",yes,yes,"all equations and signs checked visually"
11,519,"Section IV","eqs. 5-10; race-specific projection rows; population components for AFQT and education",yes,yes,"all equations and signs checked visually"
12,520,"Section IV","empirical Gamma and beta products; interpretation; exact total; notes 10-11",yes,yes,"products and negative signs checked visually"
13,521,"Section IV","Table 5; population/sample distinction; exact sample identity eq. 11; FWL proof in note 12",yes,yes,"table values, eq. 11 and note proof checked visually"
14,522,"Section IV","normal-equation proof; exact per-covariate decomposition eq. 12; three-step implementation",yes,yes,"summation, products and signs checked visually"
15,523,"Section IV","grouped heterogeneity construction; groupwise additivity; three-step grouped implementation; note 13",yes,yes,"group sums and auxiliary dependent variable checked visually"
16,524,"Section IV","population interpretation of group term; delta-method inference; expanded NLSY model; note 14 nonregular origin; note 15 full-model assumption",yes,yes,"sqrt(n) statement and zero-variance condition checked visually"
17,525,"Section IV","Table 6; AFQT, education, occupation and industry components; same sample and spherical SEs",yes,no,"full table, values and notes read"
18,526,"Sections IV-V.A","within-block orthogonality/cancellation; IV extension; exactly identified finite equality; overidentified asymptotic equality; fixed instruments note",yes,yes,"nonzero factors/zero product and IV scope checked visually"
19,527,"Sections V.A-V.B","IV application with opposing group effects; Oaxaca-Blinder construction steps 1-3",yes,yes,"formulas in heterogeneity terms checked visually"
20,528,"Sections V.B-V.C","Oaxaca-Blinder use and limitations; Hausman null introduced; notes 18-20",yes,yes,"reference-group and detailed-component formulas checked visually"
21,529,"Section V.C; Conclusion","Hausman standard-normal test claim under X1-X2 orthogonality; projection/decomposition conclusions; application summary begins",yes,yes,"Hausman conditions and conclusion checked visually"
22,530,"Conclusion; Appendix A","IV and Hausman conclusion; recommendation against sequential addition; NLSY construction begins",yes,no,"full page read"
23,531,"Appendices A-B","industry/occupation groups; no weights; spherical vs robust SE statement; covariance vector definition",yes,yes,"stacked component vector at Appendix B opening checked visually"
24,532,"Appendix B","first-order expansion B1; four-term cross-group covariance B2; Q11 definition",yes,yes,"all signs, transposes and four terms checked visually"
25,533,"Appendix B","stacked system B3; estimator B4; covariance blocks B5; auxiliary covariance B6",yes,yes,"matrix blocks and Kronecker expressions checked visually"
26,534,"Appendix B","cross-covariance blocks; feasible residuals; robust and group-cluster estimation; warning against equation-by-equation SE",yes,yes,"cross terms and residual definitions checked visually"
27,535,"Appendices B-C","conditional-sphericality simplification; Oaxaca-Blinder setup; C1-C2",yes,yes,"zero covariance special case and C1-C2 signs checked visually"
28,536,"Appendix C","price and quantity components; C3; fully interacted construction leading to C4",yes,yes,"C3 signs and regressor construction checked visually"
29,537,"Appendix C","C4-C5; group partition Z/DZ; relation between Gelbach and Oaxaca-Blinder sums; projection matrices",yes,yes,"coefficient mappings and matrix rows checked visually"
30,538,"Appendices C-D","C6 and decomposition equivalence; sequential-addition bias example begins",yes,yes,"C6 and relation to price/quantity components checked visually"
31,539,"Appendix D","projection D1; AFQT-education sequential component; bias expression D2; numerical sign reversal",yes,yes,"plus/minus signs and D2 product checked visually"
32,540,"Appendix D; References","bias symmetry; D3; sequence-sensitivity condition in projection coefficients; references begin",yes,yes,"negative bias relation and D3 signs checked visually"
33,541,"References","references Buckles-Hungerman through Gelbach 2002a",yes,no,"all entries read"
34,542,"References","references Gelbach 2002b/2009 through Krueger",yes,no,"all entries read"
35,543,"References","references Lang-Manove through Yun",yes,no,"all entries read; final printed page confirmed"
